I,also,agree,with,this,metaphor,as,the,teacher,much,like,a,coach,provides,a,game,plan,for,success,.,They,are,guides,for,the,students,minds,instead,of,their,bodies,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,teacher,could,be,like,a,coach,.,A,coach,and,teacher,are,one,and,the,same,both,pushing,their,students,to,achieve,the,highest,performance,possible,and,teaching,them,that,if,they,work,hard,enough,they,will,not,only,accomplish,their,goals,but,surpass,them,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This,applies,for,the,most,part,.,An,athlete,grows,under,the,direction,of,a,good,coach,just,as,students,grow,from,the,knowledge,and,nurturing,received,from,their,teacher,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This,is,probably,the,most,direct,metaphor,.,A,teacher,coaches,students,and,directs,them,what,they,need,to,do,.,They,dont,always,follow,exactly,what,they,say,because,they,have,a,mind,of,their,own,and,control,what,they,think,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,professor,is,a,leader,for,knowledge,.,Coaches,are,usually,more,demanding,and,expecting,of,performance,that,professors,generally,are,.,Some,students,can,be,like,athletes,in,terms,of,them,competing,for,the,best,grades,in,the,class,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Its,not,the,most,imaginative,metaphor,but,its,apt,.,The,teacher,has,gone,beyond,the,stage,in,his,or,her,life,when,she,would,be,an,athlete,or,student,and,is,now,passing,on,his,or,her,wisdom,and,guidance,to,the,next,generation,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,teacher,assigns,the,work,that,he,believes,will,teach,the,course,.,It,is,up,to,the,student,to,pass,.,An,athlete,does,not,need,to,pass,he,does,it,because,he,wants,to,be,competitive,.,Student,passes,to,get,the,degree,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Again,this,is,a,simile,not,a,metaphor,.,A,teacher,much,like,a,coach,is,an,encourager,a,guide,on,the,side,a,person,in,charge,a,leader,.,Students,are,like,athletes,in,that,they,listen,and,respond,to,the,coach,and,they,work,hard,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Very,much,.,Coaches,are,teachers,and,they,have,a,lot,of,authority,.,Students,must,do,what,the,teacher,says,and,not,everyone,makes,the,cut,.,Students,like,athletes,are,judged,by,performance,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teachers,are,going,out,their,way,to,try,and,teach,people,things,they,need,to,be,able,to,grow,into,being,adults,and,go,down,the,path,they,choose,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,college,teacher,is,like,a,coach,they,guide,students,to,success,.,They,are,unlike,a,coach,in,that,they,show,more,compassion,and,do,not,bench,people,for,poor,performance,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,teacher,is,like,a,coach,and,students,are,like,athletes,because,the,teacher,is,pushing,the,students,to,new,heights,by,teaching,them,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generally,speaking,coaches,are,there,to,plan,the,route,provide,guidance,and,help,steer,those,under,their,care,in,the,right,direction,.,The,students,or,athletes,are,responsible,for,the,physical,action,of,making,that,happen,.,In,other,words,its,on,them,to,put,in,the,effort,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
